,Rating,Total User Ratings,Address,City,State,Lat,Long_,Restaurant
45,4.1,223,"3380 150th St W, Rosemount","3380 150th St W, Rosemount",MN,44.7312418,-93.1331565,Arby's
46,4.2,684,"14420 28th Pl N, Plymouth","14420 28th Pl N, Plymouth",MN,45.01186089999999,-93.46296210000001,Arby's
47,3.0,759,"4000 Annapolis Ln N, Plymouth","4000 Annapolis Ln N, Plymouth",MN,45.02860940000001,-93.45483519999999,Dairy Queen Grill & Chill
48,4.0,422,"7533 Lyndale Ave S, Richfield","7533 Lyndale Ave S, Richfield",MN,44.86607069999999,-93.28799400000001,Dairy Queen Grill & Chill
49,4.3,397,"4630 Rahncliff Rd, Eagan","4630 Rahncliff Rd, Eagan",MN,44.7881344,-93.20714149999999,Dairy Queen
50,3.6,740,"819 Century Ave N, Maplewood","819 Century Ave N, Maplewood",MN,44.96613019999999,-92.9853845,Dairy Queen Grill & Chill
51,4.2,462,"7825 Medicine Lake Rd, Golden Valley","7825 Medicine Lake Rd, Golden Valley",MN,45.0070647,-93.37947,Dairy Queen (Treat)
52,3.9,758,"7700 Normandale Blvd, Edina","7700 Normandale Blvd, Edina",MN,44.8632742,-93.35218189999999,Dairy Queen Grill & Chill
53,2.5,544,"15073 Canada Ave W, Rosemount","15073 Canada Ave W, Rosemount",MN,44.7303024,-93.1323266,Dairy Queen Grill & Chill
54,4.3,686,"7450 Currell Blvd, Woodbury","7450 Currell Blvd, Woodbury",MN,44.9262103,-92.95508439999999,Dairy Queen
55,4.1,239,"710 NE Lowry Ave, Minneapolis","710 NE Lowry Ave, Minneapolis",MN,45.0129993,-93.251813,Dairy Queen (Treat)
56,4.2,462,"4740 Minnehaha Ave, Minneapolis","4740 Minnehaha Ave, Minneapolis",MN,44.9172238,-93.2138792,Dairy Queen (Treat)
57,3.4,760,"16340 Terrey Pine Dr, Eden Prairie","16340 Terrey Pine Dr, Eden Prairie",MN,44.8606087,-93.48470449999999,Dairy Queen Grill & Chill
58,4.0,579,"2800 W 66th St, Richfield","2800 W 66th St, Richfield",MN,44.8838469,-93.3152874,Dairy Queen Grill & Chill
